Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Color,Owner_Type,Mileage_kmpl,Price_Lakh,Provider,Policy_Number,Expiry_Date,Status,Owner_Name,Contact,City,Purchase_Year,Sale_Price_Lakh,Sale_Date,Buyer_Name,Service_Type,Service_Date,Service_Cost,Service_Center
C1000,Tata,Nexon,2013,Hybrid,Automatic,Blue,First,18.97,6.59,"TATA AIG",POL932442,2023-06-01,Active,Owner_0,"+91 9548825254",Lucknow,2017,31.8,2023-05-27,Buyer_0,"Battery Replacement",2020-05-13,14660,AutoCare
C1001,Maruti,XUV500,2005,Diesel,Automatic,Green,First,19.51,33.01,"HDFC Ergo",POL707814,2023-08-30,Expired,Owner_1,"+91 9296593224",Jaipur,2023,2.51,2022-11-13,Buyer_1,"Battery Replacement",2020-06-08,19421,"Speed Garage"
C1002,Honda,XUV500,2009,Electric,Manual,White,First,15.14,7.11,"SBI General",POL886942,2023-12-25,Active,Owner_2,"+91 9500832078",Mumbai,2008,24.53,2022-11-09,Buyer_2,"Oil Change",2023-10-17,5879,Pitstop
C1003,Maruti,City,2010,Hybrid,Automatic,White,Fourth,18.51,28.47,"SBI General",POL209668,2023-08-21,Expired,Owner_3,"+91 9910472333",Ahmedabad,2014,39.85,2023-08-05,Buyer_3,"Full Service",2020-09-01,16251,Mechanix
C1004,Tata,Nexon,2018,Petrol,Automatic,Grey,First,10.79,10.16,"SBI General",POL198614,2023-07-15,Expired,Owner_4,"+91 9744621471",Mumbai,2007,32.99,2022-07-26,Buyer_4,"Brake Service",2020-01-04,8772,"Speed Garage"
C1005,Mahindra,Swift,2014,CNG,Automatic,White,First,23.97,12.71,"Reliance General",POL916960,2024-04-16,Expired,Owner_5,"+91 9703752914",Delhi,2023,33.23,2022-02-05,Buyer_5,"Oil Change",2023-06-27,13596,CarZ
C1006,Maruti,Duster,2024,Petrol,Automatic,Yellow,First,23.34,47.52,"Bajaj Allianz",POL238047,2024-06-10,Active,Owner_6,"+91 9750562534",Jaipur,2014,20.66,2022-08-25,Buyer_6,"Oil Change",2020-01-19,4998,CarZ
C1007,Toyota,City,2012,Electric,Automatic,Red,First,22.95,5.72,"SBI General",POL117936,2024-10-03,Expired,Owner_7,"+91 9185856961",Lucknow,2022,11.47,2022-05-31,Buyer_7,"Full Service",2021-10-14,18410,CarZ
C1008,Tata,Polo,2014,Electric,Manual,Green,Second,18.9,33.32,"ICICI Lombard",POL584966,2023-07-15,Active,Owner_8,"+91 9260320013",Jaipur,2018,26.2,2022-12-20,Buyer_8,"Oil Change",2022-10-21,9215,Pitstop
C1009,Mahindra,Ecosport,2017,Electric,Automatic,Grey,First,21.07,33.73,"ICICI Lombard",POL943593,2023-12-04,Expired,Owner_9,"+91 9539389253",Mumbai,2018,12.24,2023-09-23,Buyer_9,"Battery Replacement",2021-03-15,19134,FastFix
